[ -13, -27, 1, -26, -14, -10, -2, -6 ]
[ 2, 10, 86, 20, 8, 1, -4, 7 ]
[ 2, -10, -42, 0, 3, 3, 0, 1 ]
[ -3, 6, 2, 13, 0, -2, 0, -1 ]
[ 1, -13, 6, 1, 0, 0, -2, 3 ]
[ -5, 1, 26, -18, -1, 1, 0, 0 ]
[ -4, -15, -5, 5, -2, -2, -1, -5 ]
[ 0, 5, 3, -32, -7, -2, -3, 0 ]
[ -1, -4, -10, 35, 5, 3, -2, -1 ]
[ 3, -2, 17, -30, -4, -2, 0, -1 ]
[ 1, -1, -22, -6, 1, 2, 3, 1 ]
[ 2, -9, -9, 6, 3, 1, -2, 2 ]
[ -8, -18, 20, -3, -3, -2, 8, -3 ]
[ 0, 5, 11, 18, -2, -2, -13, -1 ]
[ 0, -3, -24, 1, -4, 0, 1, 0 ]
[ -2, -6, -6, -22, -3, -4, -2, -1 ]
[ 2, 4, 7, 7, 3, 2, 0, 1 ]
[ 0, -3, -36, 0, -7, -4, -1, -1 ]
[ -2, -10, 23, 10, 7, 0, -1, -1 ]
[ -4, 6, 27, -4, -5, -3, 1, -1 ]
[ 2, 6, -33, -9, 0, 3, -4, 0 ]
[ -2, 1, -34, 25, -1, -2, 1, -3 ]
[ 3, -2, -71, -48, 3, 3, -3, 1 ]
[ -6, -6, 6, 23, -4, -3, 0, -4 ]
[ 0, 0, -31, -5, 0, -2, -2, -1 ]
[ -8, -13, 1, -5, -6, -5, -1, -3 ]
[ 12, 7, 35, 0, -1, -1, -1, -2 ]
[ -15, -16, 78, 0, 0, 2, -1, -3 ]
[ -3, -7, -23, -44, -7, -4, -4, -3 ]
[ 1, 1, 24, -4, 4, 2, 2, 3 ]
[ -4, -4, 28, 17, -4, -4, 0, 0 ]
[ 6, 12, 7, 19, 6, 2, -1, 3 ]
[ 0, 0, 11, 10, 0, -1, -2, -1 ]
[ 0, -5, -21, -23, 0, 1, 8, 0 ]
[ 1, 3, -3, 13, -1, -2, -4, 6 ]
[ 8, 21, -34, -13, -3, -1, 0, -6 ]
[ 0, 1, -16, 7, 1, 1, -3, 1 ]
[ -3, 12, 5, 6, 3, 2, 2, 1 ]
[ -2, -1, 38, -3, -4, -2, 1, 1 ]
[ 8, 16, -7, 8, 8, 6, 0, 6 ]
[ -15, -34, 76, 26, -16, -9, -4, -8 ]
[ 4, 8, 39, 17, 6, 1, 5, 1 ]
[ -1, 11, -8, 12, 1, 1, -3, -3 ]
[ 2, -18, 5, 5, 3, 1, 2, 2 ]
[ 7, 9, 6, 6, 5, 3, 0, 1 ]
[ 0, -5, 22, -1, -7, -4, -3, -2 ]
[ -4, -2, -16, 3, -1, -1, -3, -2 ]
[ 1, 3, -11, -14, -7, -4, -1, 1 ]
[ 27, 33, -73, 29, 15, 6, 2, 4 ]
[ -26, -44, 36, -38, -15, -7, -9, -11 ]
[ -2, 2, -7, -15, -2, -1, 2, -1 ]
[ -3, 3, -24, -6, 1, 0, -2, -2 ]
[ 1, -3, 23, -2, -4, -3, 1, 1 ]
[ 7, 14, -7, 17, 6, 3, 0, 1 ]
[ 0, -5, -3, -1, -1, 2, -1, -2 ]
[ -6, -17, -2, -7, -6, -3, -3, -2 ]
[ -4, 8, 13, 0, 6, 2, 0, 3 ]
[ 7, 33, 77, 88, 5, 0, 1, 14 ]
[ -26, -46, -25, -95, -21, -9, -12, -27 ]
[ -1, -5, 49, 15, -1, -2, 1, 2 ]
[ 2, 28, 20, -14, 2, 2, 5, -2 ]
[ 1, 9, 85, 11, 1, 0, -3, 4 ]
[ 12, 12, -54, 30, 8, 2, 3, 8 ]
[ -8, -7, -20, -7, -6, -4, -6, -5 ]
[ -9, -11, -14, -20, -1, -2, -4, 3 ]
[ 0, -45, -75, -25, -6, -2, 0, -4 ]
[ 3, 19, 48, 50, 11, 5, 3, 5 ]
[ 2, -2, -23, -27, 1, 2, 1, -2 ]
[ -8, -15, -16, 4, -5, -2, -2, -1 ]
[ 1, -6, -26, -11, -1, -1, -1, -4 ]
[ 1, -5, 11, 6, -1, -1, 2, 0 ]
[ 2, 14, -12, 13, 1, -1, -2, 4 ]
[ 5, 6, 25, 24, 6, 2, 3, 0 ]
[ -13, -27, -34, -67, -15, -7, -6, -12 ]
[ -2, -1, -13, 1, -3, -2, 1, 2 ]
[ 1, 6, -37, -3, 1, 2, 0, 0 ]
[ -1, 2, 39, 4, -1, -2, -1, -1 ]
[ 4, 10, -115, -10, 2, 0, 0, -1 ]
[ 2, 4, -3, 2, 1, 1, 1, 1 ]
[ -2, -2, 16, 14, -2, -1, -1, -2 ]
[ -2, -5, 7, -7, 1, 0, 0, -2 ]
[ 8, 26, 7, 48, 10, 4, 1, 4 ]
[ -12, -31, 24, -57, -19, -9, -4, -4 ]
[ -4, -6, -20, -2, -2, -3, 0, -2 ]
[ -2, -5, 0, -12, -4, -2, -3, 0 ]
[ 1, 4, 30, -14, 0, 0, 0, -3 ]
[ 7, 33, 6, 23, 6, 1, 0, 2 ]
[ -5, -5, 59, 4, 2, 2, 0, 0 ]
[ -6, -15, -37, 6, -3, -3, -1, -2 ]
[ -1, 2, -24, -15, 2, 1, 0, -1 ]
[ 5, 16, 13, 26, 4, 1, 1, 3 ]
[ -10, -48, -36, -68, -16, -8, -6, -7 ]
[ -7, 4, 24, 3, 0, -2, -1, -1 ]
[ 11, 46, -6, 9, 3, -1, 0, 6 ]
[ -3, -3, 12, 9, 1, -1, -2, -1 ]
[ 8, 17, -5, 23, 5, 3, 1, 1 ]
[ 1, -2, 2, -8, 1, 2, 0, 0 ]
[ -2, -19, -52, -12, -6, -1, -2, -4 ]
[ -6, -12, 51, -25, -6, -4, -1, 2 ]
[ 3, 12, 13, 16, -1, -1, -1, -11 ]
[ -5, -8, -10, -8, -5, -1, -1, -1 ]
[ -2, 3, 9, 11, 4, 1, -2, -1 ]
[ 4, -2, -13, 10, 3, 0, 0, 1 ]
[ 0, -2, -15, -6, 4, 1, 0, 0 ]
[ -2, 0, 9, 6, -3, -1, -1, -2 ]
[ -6, -23, 13, -7, -4, 0, -2, -4 ]
[ 1, -4, -29, 3, -2, 0, 1, 0 ]
[ 3, 9, 14, 3, 1, -2, -1, 3 ]
[ 3, 8, 13, 2, 4, 1, -6, -2 ]
[ 2, -2, -11, -2, -1, 3, 12, 5 ]
[ -3, -3, -8, -2, -2, -1, -5, -1 ]
[ -6, -14, 1, 5, 2, 1, 2, 3 ]
[ -1, -1, -4, -7, 0, 0, -2, 1 ]
[ -2, -9, -6, -3, -4, -4, -5, -2 ]
[ 0, -6, 43, 9, 0, -1, 1, -2 ]
[ 0, 7, -4, -9, 0, -1, -3, 0 ]
